Citation,Parent Statute,Source,Chapter,Document Type,File,url (from File),PDF (from File),Date Last Updated (from File),Date Originally Published (from File),Entity Empowered,Triggering Event,Describe Health Emergency,Location,Military Involvement (Federal),Preliminary Screening,Funding Stream Description,"Regulations: Relevant Chapter, Section or Article",Scenarios Matrix,Funding Stream?,Waiver Authority,Plans & Strategies,State Trigger,Document Description,Note,Powers Invoked
",Military Readiness",Troop, Uniformed Service," or National Guard Deployment""""","Government Contracts""",,,,,,,,,,,,,,,,,,,,,
15 C.F.R. §§ 700.1–700.93,Stafford Act ,Parallel Table U.S.C.,,Regulation,Stafford Act,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/ta1nPp4ttgvQVMFJWadwxQ/pH1fj4iWoSEq4RX_DkdEBG8y2FDvyuqqW0th65IETn6bgf6-5NH75sgsMk-cthc6Tfcv0UqSVWG4-zEUdH466lrkIYV8t6d6DQraXpW7N3Has9VHm3RoVti_06e6ezwNZ7LIxSTY9qopwCrLO3wCq792nxupH5ZB60Z697rTI7k/TCgV9B0Z0HNTt_B8kXy3DBVZpqJbOLCjshPNguq189w),3/18/24,5/22/74,"Department of Defense,Department of Commerce","Presidential Major Disaster Declaration,Presidential Emergency Declarations",Authorizes Department of Commerce to use delegated authority on contracts in times of Stafford Emergencies,Domestic,Yes - Subject to Posse Comitatus,Include,Establishes several funding schemes and allocations + allows Department of Commerce to establish an ordering,* § 700.3: Priority ratings and rated orders,,,,,,,,
* § 700.8: Definitions,,,,,,,,,,,,,,,,,,,,,,,,,
* §§ 700.10–700.18: Industrial Priorities,,,,,,,,,,,,,,,,,,,,,,,,,
* §§ 700.30–700.36: Allocation Actions,,,,,,,,,,,,,,,,,,,,,,,,,
* § 700.55: Homeland security, emergency preparedness, and critical infrastructure protection and restoration assistance programs within the United States,,,,,,,,,,,,,,,,,,,,,,,
* § 700.62 - Directives,,,,,,,,,,,,,,,,,,,,,,,,,
* § 700.63: Letters of Understanding,,,,,,,,,,,,,,,,,,,,,,,,,
"* Schedule I: Approved Programs and Delegate Agencies""","Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c",Yes,No,,Yes,Defense Priorities and Allocations System to support the Defense Production Act and the Stafford Act,,"Government Contracts,Strategic National Stockpile",,,,,,,,,,,,,,,,,
5 C.F.R. § 2601.203-.204;,Ethical Implications of Emergency Response Conf. Report,FEMA DOLR,4,Regulation,5 C.F.R. § 2601.203-.204;,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.govinfo.gov/content/pkg/CFR-2023-title5-vol3/pdf/CFR-2023-title5-vol3-sec2601-204.pdf,CFR-2023-title5-vol3-sec2601-204.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/D4kRv1W40MWuf1O0PUQjhg/GimliKVqEdp_9wuEMT8FtHiMTMhrP7uM7ox6j-lBWF70TBoIEYFbphkfjCOZUMM1tL1ChBy4n3buI6spTvYdWnC_-oJ8dWhJm8F5n5VqlGGFnr8qv5XHkxGovorRMWo_IJslGTc4m2_lD25TEXzC2GyvnO_55SA4AlCdem_yrQvoBgl-Nl08BLy_-sTZHg64/tfUePUIAsM1lJiI1YoOXZsN-cV4rpPyxkEdxPWP9_8A),,6/1/06,"Department of Defense,Department of Justice,Department of State,Department of Homeland Security,Department of the Treasury,Environmental Protection Agency,Department of Justice - Federal Bureau of Investigation,Department of Health and Human Services","Presidential Emergency Declarations,Presidential Major Disaster Declaration","Requires a Stafford Act declaration of either an ""emergency"" or ""major disaster."" ",Domestic,Yes - Subject to Posse Comitatus,Include,,,,,,,No,This regulation covers the framework for emergency responses with FEMA and HHS being the main agencies empowered to make decisions during crisis situations. ,,"Strategies and General Preparedness Efforts,Response Leadership,Mission Assignment/Response Coordination"
10 U.S.C. § 162 and 164 §§ 101(c); 331-335; 12301-12304; and 12406.,U.S.C. Title 10-Armed Forces,FEMA DOLR,4,Legislation,Title 10 of United States Code (U.S.C.),https://www.govinfo.gov/content/pkg/CPRT-112HPRT67344/pdf/CPRT-112HPRT67344.pdf,CPRT-112HPRT67344.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/7pebHfggwAtgYp-JqNNgtQ/vAMDO5xn_GbaCkqzMoYXWx2fp0yVuF4a4r2HFD-LzpXzrvBaHzgp6TsMrTS5I6SVbohi9WrchJWT7_WlUdcHJhII4xctYXul5Ntfwkw7FZy4ZLxBgzQhIx4M1bzBO0REtaJO6ikeDnEh35ixjD-E6RaOnZxSCJ6V2i1AgHWD38Y/yo0-k_Kag7un1qrNT15HW94UAmjq9AI-Jixyk6LSAfU),1/7/11,8/10/56,"Department of Defense,Department of Defense - Department of the Army","Act of War,No triggering event - Capacity Building,Terrorism,Presidential Emergency Declarations",N/A,Both,Yes - Subject to Posse Comitatus,Include,,,,,,,No,This title establishes the roles and responsibilities of the US Armed Forces. Main actors include POTUS and DOD. This title supports national defense and disaster relief.,,"""Troop or Uniformed Service or National Guard Deployment"""
18 U.S.C. §1385 ,Use of Army and Air Force as posse comitatus ,FEMA DOLR,4,Legislation,18 U.S.C. §1385 ,https://policy.defense.gov/portals/11/Documents/hdasa/references/18%20USC%201385.pdf,18 USC 1385.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/5YxwZRmEvdZ3_PiX_hnpXQ/PSmiwY3NFdG3uN3KWkAX2V8jT56T8Fzmh35-BYSE_AAOR-tDSP4MhyLpj271zeO1d-1KLOrJwZPT84rPBCw2SA-FcM3Z775DN2rZ2mWlQoCDiBnpZUjpJJKn9g-p-IjlBDUlXLrlm3PpMLPUQn4zAQB00ZMHS2_urWsF4z8M1Gw/_A6HPm5EBFA_jb5A-uQFWSwyTI8OsviACSsoDVsSjtQ),1/3/12,8/10/56,"Department of Defense,Department of Defense - Department of the Army","Act of War,No triggering event - Capacity Building,Presidential Emergency Declarations",N/A,Domestic,Yes - Subject to Posse Comitatus,Include,,,,,,,No,"The Posse Comitatus Act restricts the use of the army for civilian affairs and limits military action in law enforcement unless directed by Congress, POTUS, or the Constitution.",,"""Troop or Uniformed Service or National Guard Deployment"""
"32 U.S.C 325, 502, 901-904",U.S.C. Title 32-National Guard,FEMA DOLR,4,Legislation,USC Title 32,https://www.govinfo.gov/content/pkg/USCODE-2011-title32/pdf/USCODE-2011-title32.pdf,USCODE-2011-title32.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/9FWvmZ_5i2CKqXO8r1p1vA/L1bb8_IAlA599NVOiOXdFZImQyzL2F4alFM5On71G9uhW1oOCIH1pApETaZO5XP8DxWTefvQeIh8cxc5IVbD35CCb48i8Wioyug0v7ORQMOgcjIShFWRU-SH-V3Uh4xboZ8Iwm-BIVvbXS2PK7wrDsawTx0DyT_n0fxs2vU-Da4/Ua7LeDklmpPT-k0VqD6H1b5ETPN1n_851Ve4lG7-t6o),,8/10/56,"Department of Defense,Department of Defense - Department of the Army,Department of Homeland Security,Federal Emergency Management Agency","Health Emergency,Natural Disaster,Act of War,No triggering event - Capacity Building,Terrorism,Presidential Emergency Declarations",The National Guard can be deployed for health crises to manage wide populations and distribute resources.,Domestic,Yes - Subject to Posse Comitatus,Include,,,,,,,Yes,This title outlines the training and organization of the National Guard. It specifies state and federal implementations of the National Guard in response to emergencies and upholding laws.,,"""Troop or Uniformed Service or National Guard Deployment"""
43 U.S.C. § 1341,National Emergencies Act,"Emergency Authorities Under the National Emergencies Act,",,Legislation,National Emergencies Act,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/IzAAnbQKmpUDP_H_iKiUuw/yHHBXYy2IPbGzSCexyaWT0R8CieUkP2sMHRhRMCZQMLmz08DoaOUYB5irNlB8tgF2leLPUGnRllzPMs3B6E5gA5d0ACBkcC_w1VveSooMnpEtJyKdqKcapjTfW9nWRyg2me2opCpWJsOtmlyahExudgyK1Y1-YDdUJkvDx2rZRQ/Yl2k4XTrD9wA_7YkSVARmFYo8JNrwsNwAKqd84FNsdw),12/27/21,9/14/76,"Department of Defense,Department of the Interior","Natural Disaster,Act of War,Presidential Emergency Declarations,Terrorism",N/A,Domestic,No,,,,,,,,No,The Secretary of the Interior can suspend leases on the outer Continental Shelf if the Secretary of Defense recommends it during a war or national emergency declared by Congress or the President.,,Government Contracts
44 C.F.R. § 321,FEMA - Preparedness,eCFR,,Regulation,44 CFR 321 ,https://www.ecfr.gov/current/title-44/chapter-I/subchapter-F/part-321,44 CFR Part 321 (up to date as of 9-10-2024).pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/Hw0aQxJvSszJ0N9gzVay6w/GQ7g37I8tHt1xEHKMrBrst27ImJPfKQZwcPU1ZStFFZc7-g_a-b3utidMiG2Co8R_SOihyeMdGhG2mpVl777TQXhywujn1xKWctvlPFRaxVehnvYQ_HFtHRPgOW2WkptmIgJVJT7NNRkIiSwBgFR45rdcXIAQp5qRVIKwfRgP7pfEnEEl8_d_aLHrNYknOoc/BZctqsxD4QfwaAHm3QBJkxVlD2JNXnbVOEZDsSt-jvw),1/3/17,7/1/80,"Department of Defense,Department of Energy,Federal Emergency Management Agency,Department of Transportation - Maritime Administration",No triggering event - Capacity Building,"Requires a constant state of readiness, which will facilitate immediate use or conversion in times of emergency or attack, of facilities, machine tools, production equipment, and skilled workers necessary to produce wartime requirements. ",Both,Yes - Subject to Posse Comitatus,Include,,* § 321.2: Selection of the mobilization base,,,,,,,,
* § 321.4: Achieving production readiness,,,,,,,,,,,,,,,,,,,,,,,,,
"* § 321.5: Retention of Industrial Facilities ""","Scenario 3a,Scenario 3b,Scenario 3c",No,No,,Not applicable,Maintenance of the Mobilization Base,,Military Readiness,,,,,,,,,,,,,,,,,
41 U.S.C. § 3902,Severable services contracts for periods crossing fiscal years,FEMA DOLR,2,Legislation,Severable services contracts for periods crossing fiscal years,https://www.govinfo.gov/app/details/USCODE-2022-title41/USCODE-2022-title41-subtitleI-divsnC-chap39-sec3902,USCODE-2010-title41-subtitleI-divsnC-chap39-sec3902.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/pBLULURXoHJh1glAxskh4w/S-wWHf4BWc0Ds4beFZmNOSnsleamb3pYIKIuH5gzOlGjQRK8l-p6lhhMgi9NmediHPJilBibC5oE-1zyEuGvIiimkjMOKDbHl6z4b3hwQGlvEjirczk-WxSp_wMYI3fRLvpbxnf7bIU8o8hVUhcsQA/bmAPAZ6MxRgTtQ-eZb5T8156ow6EULaAKk5yc-02mM4),1/5/23,1/4/11,"Department of Defense,National Aeronautics and Space Administration,Executive Office of the President of the United States - Office of Management and Budget,General Services Administration",No triggering event - Capacity Building,N/A,Domestic,No,Exclude,,,,,,,No,"41 U.S.C. § 3902 allows agencies to enter into severable services contracts that cross fiscal years for up to one year, using funds from the initial fiscal year. This provision enables agencies to efficiently manage contracts that span fiscal years without violating the bona fide needs rule.",Footnotes,
",Appropriations - Emergency Response","Government Contracts""",,,,,,,,,,,,,,,,,,,,,,,,
National Security Decision Directive 189,,Presidential Directive,,Presidential Directive,NSDD 189,https://irp.fas.org/offdocs/nsdd/nsdd-189.pdf,nsdd-189.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/5_M6I217azh7LBeGOsa0TQ/viVUOH2DbgJBdHtk_Zhj96K17p9y9SIhptTx2AxMohAGSxxtHsClzrdRBFCyZOlop-b3M-ls2lPVbq9ZCVYcxVrl8Rnm7Cb64P6OH0euuSrIW-MOJGEEVyvR9iYpqv0LKQQiU6IW7AKqNkMreXzrAeDcIyjcveZ7ftaxqvjEUaA/woZ-WlkKcLMvT2tMV0WNaeDdfsZRlpxaQFTb5Bx2kPw),,9/21/85,"Department of Defense,National Science Foundation",No triggering event - Capacity Building,N/A,Domestic,No,,,,,,,,No,"This directive outlines US national policy for managing scientific, technological, and engineering information derived from federally-funded research at various institutions. ""Fundamental research"", as defined by this directive, is basic and broadly applicable scientific research. This directive emphasizes that such fundamental research should remain unrestricted, unless there are national security concerns that require it to be classified. Research projects should be reviewed for classification before federal grants are awarded.",,"Research and Development,Grant Programs or Appropriations (not to states),Government Contracts"
National Security Presidential Directive 33,,Presidential Directive,,Presidential Directive,National Security Presidential Directive 33,https://osp.unc.edu/wp-content/uploads/sites/1202/2022/06/osp_Presidential-Memorandum-on-United-States-Government-Supported-Research-and-Development-National-Security-Policy-NSP-33.pdf,osp_Presidential-Memorandum-on-United-States-Government-Supported-Research-and-Development-National-Security-Policy-NSP-33.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/tmp2X35jZsc4rODVEK30fw/rUK6GTZB-8uxLP2S3IGxbQsyjxLFjUAC0M_I9DvGRb5jMmKSzEAwW6JIRK7JaDbTwMKvKC66TnFPCUhDfCjbE5IpXnVC-5e6e_UwzVsFim2VmstbM1Lz5LEpBN9KGh09rUMdVoLHrw7wChjzbF8i6Jj8xNZpOYRKhw-EHDZzE_ETgfqCTDcATCUw3wyHB1YeLn49kyWnOLzW6aes8eOROKyfhcUoEhsT536HHVrJ33mc7mNE4eVGlNaTXcQoYFkQkq5U_2oAmyomL44lb8MKpZ8W4u-ONWt9pD3TFnBJSTGVDLl-Xi3_nHnvHH_rqcuy/vzwezRQBd4RywdcAypk2M1Wl-SRWtx1SoXD7zEqJul0),4/28/04,4/28/04,"Department of Defense,Department of Homeland Security,Department of Education,Broadly applies to any relevant federal agency,Department of State",No triggering event - Capacity Building,N/A,Both,Yes - Subject to Posse Comitatus,,Conditions federal appropriations on rules against foreign interference. ,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Yes,No,,Not applicable,"This directive aims to safeguard federally funded research and development from foreign interference. It strengthens disclosure requirements for federally funded awards, establishes research security programs, and implements potential violation penalties.",,Research and Development
50 U.S.C. § 4531,National Emergencies Act,"Emergency Authorities Under the National Emergencies Act,",,Legislation,National Emergencies Act,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/IzAAnbQKmpUDP_H_iKiUuw/yHHBXYy2IPbGzSCexyaWT0R8CieUkP2sMHRhRMCZQMLmz08DoaOUYB5irNlB8tgF2leLPUGnRllzPMs3B6E5gA5d0ACBkcC_w1VveSooMnpEtJyKdqKcapjTfW9nWRyg2me2opCpWJsOtmlyahExudgyK1Y1-YDdUJkvDx2rZRQ/Yl2k4XTrD9wA_7YkSVARmFYo8JNrwsNwAKqd84FNsdw),12/27/21,9/14/76,"Department of Defense,Executive Office of the President of the United States","Act of War,Presidential Emergency Declarations,Terrorism",N/A,Domestic,No,,,,,,,,No,"During a national emergency declared by Congress or the President, certain conditions for the President to guarantee financing for national defense contracts under the Defense Production Act (DPA) don't apply.",,"Waiver,Military Readiness,Provision of Supplies,Government Contracts"
50 U.S.C. § 4532,National Emergencies Act,"Emergency Authorities Under the National Emergencies Act,",,Legislation,National Emergencies Act,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/IzAAnbQKmpUDP_H_iKiUuw/yHHBXYy2IPbGzSCexyaWT0R8CieUkP2sMHRhRMCZQMLmz08DoaOUYB5irNlB8tgF2leLPUGnRllzPMs3B6E5gA5d0ACBkcC_w1VveSooMnpEtJyKdqKcapjTfW9nWRyg2me2opCpWJsOtmlyahExudgyK1Y1-YDdUJkvDx2rZRQ/Yl2k4XTrD9wA_7YkSVARmFYo8JNrwsNwAKqd84FNsdw),12/27/21,9/14/76,"Department of Defense,Executive Office of the President of the United States","Act of War,Presidential Emergency Declarations,Terrorism",N/A,Domestic,No,,,,,,,,No,The President can waive some prerequisites and the $50 million cap on direct federal loans for expanding production capacity for national defense under the DPA during a national emergency declared by Congress or the President.,,
,,,,,,,,,,,,,,,,,,,,,,,,,
",,Waiver",Military Readiness,"Government Contracts""",,,,,,,,,,,,,,,,,,,,,,,
50 U.S.C. § 4533,National Emergencies Act,"Emergency Authorities Under the National Emergencies Act,",,Legislation,National Emergencies Act,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/IzAAnbQKmpUDP_H_iKiUuw/yHHBXYy2IPbGzSCexyaWT0R8CieUkP2sMHRhRMCZQMLmz08DoaOUYB5irNlB8tgF2leLPUGnRllzPMs3B6E5gA5d0ACBkcC_w1VveSooMnpEtJyKdqKcapjTfW9nWRyg2me2opCpWJsOtmlyahExudgyK1Y1-YDdUJkvDx2rZRQ/Yl2k4XTrD9wA_7YkSVARmFYo8JNrwsNwAKqd84FNsdw),12/27/21,9/14/76,"Department of Defense,Executive Office of the President of the United States","Act of War,Presidential Emergency Declarations,Terrorism",N/A,Domestic,No,,,,,,,,No,"During a national emergency declared by Congress or the President, the President can waive certain conditions to use the DPA to expand production capacity and supply in private industry for national defense purposes.",,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
",,Waiver",Military Readiness,Provision of Supplies,"Government Contracts""",,,,,,,,,,,,,,,,,,,,,,
35 U.S.C. § 181,National Emergencies Act,"Emergency Authorities Under the National Emergencies Act,",,Legislation,National Emergencies Act,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/IzAAnbQKmpUDP_H_iKiUuw/yHHBXYy2IPbGzSCexyaWT0R8CieUkP2sMHRhRMCZQMLmz08DoaOUYB5irNlB8tgF2leLPUGnRllzPMs3B6E5gA5d0ACBkcC_w1VveSooMnpEtJyKdqKcapjTfW9nWRyg2me2opCpWJsOtmlyahExudgyK1Y1-YDdUJkvDx2rZRQ/Yl2k4XTrD9wA_7YkSVARmFYo8JNrwsNwAKqd84FNsdw),12/27/21,9/14/76,"Department of Defense,Department of Commerce - Patent and Trademark Office",Act of War,N/A,Domestic,No,,,,,,,,No,"If a patent or patent application is kept secret for national security, the secrecy order remains in effect during a war, for one year after the war ends, and during a national emergency and for six months after.",,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
",,Waiver",,,,,,,,,,,,,,,,,,,,,,,,,
Presidential Directive 2020-19504,,Presidential Directive,,Presidential Directive,2020-19594,https://www.govinfo.gov/content/pkg/FR-2020-09-03/pdf/2020-19594.pdf,2020-19594.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/PeDxmMDG_1AywBu1cXfwUw/NWKDwtTB0QA7AfBKJ2hzWCNCshPg6zQR_iYeQqtGpl8mHPprs2Lm_TwCxKOsCv_d8IY0VzGuVe6rWXCeZcOD3AlbOOTzONSV_WHiawxq-CSVhZ3_JVZ7vM6DJp0_gicjGsrFFrrgCBd-moAPRswb1uGyHLq8KjDxQfeIn7UmjtU/FCVlbgMxfIbuj3IGnyq7lMXRxOrX8qtihg18nSlqwqQ),,9/3/20,"Department of Defense,Department of Defense - Defense Health Agency",No triggering event - Capacity Building,N/A,Domestic,No,Include,Provides funding for additional TriCare reimbursement,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Yes,Yes,,Not applicable,"This directive pertains to TRICARE coverage during COVID. This insurance for military personnel and their families expanded its coverage to add medical benefits, addressing challenges introduced by the pandemic by including telemedicine, COVID diagnostic testing, and treatment. ",,"Waiver,Appropriations - Emergency Response,Provision of Medical Care"
"33 U.S.C. 467d, 467f and 467j",National Dam Safety Program Act,FEMA DOLR,2,Legislation,National Dam Safety Program Act,https://www.govinfo.gov/app/details/PLAW-109publ460/,PLAW-109publ460.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/L455F1n9TehZw3AhCcaEBg/WpHbb8TsSmi6hZeR3FjC_v99_sQO8E4XHKbNgQtnKWlVXSYf6WN_1hcVr_8u0GVuWITiWZRdUoe35PRQSQRG2mt39A40ruIHvzIhZuXXmNXasy0zbVTb4VMELlxucX47h5lG5L8eGAvZG6_GVxzA4og79lGVKBHjaqQgUstv7lw/lCFpidLzOeL2eoCBKPenR5viHfYSmdWyxI6cUaBDILI),,12/22/06,Department of Defense - Department of the Army,No triggering event - Capacity Building,N/A,Domestic,No,Exclude,,,,,,,No,"The National Dam Safety Program Act established a national program to improve the safety and security of dams in the United States through federal, state, and private sector cooperation. This legislation created the National Dam Safety Review Board to advise on policy, authorized grants to support state dam safety programs, and mandated the development of federal guidelines for dam safety practices.",,Strategies and General Preparedness Efforts
16 U.S.C. § 440,National Emergencies Act,"Emergency Authorities Under the National Emergencies Act,",,Legislation,National Emergencies Act,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/IzAAnbQKmpUDP_H_iKiUuw/yHHBXYy2IPbGzSCexyaWT0R8CieUkP2sMHRhRMCZQMLmz08DoaOUYB5irNlB8tgF2leLPUGnRllzPMs3B6E5gA5d0ACBkcC_w1VveSooMnpEtJyKdqKcapjTfW9nWRyg2me2opCpWJsOtmlyahExudgyK1Y1-YDdUJkvDx2rZRQ/Yl2k4XTrD9wA_7YkSVARmFYo8JNrwsNwAKqd84FNsdw),12/27/21,9/14/76,Department of Defense - Department of the Army,"Natural Disaster,Act of War,Presidential Emergency Declarations,Terrorism",N/A,Domestic,Yes - Subject to Posse Comitatus,,,,,,,,No,Fort McHenry can be shut down during a national emergency to be used for military purposes.,,Military Readiness
31 U.S.C. § 3522,National Emergencies Act,"Emergency Authorities Under the National Emergencies Act,",,Legislation,National Emergencies Act,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/IzAAnbQKmpUDP_H_iKiUuw/yHHBXYy2IPbGzSCexyaWT0R8CieUkP2sMHRhRMCZQMLmz08DoaOUYB5irNlB8tgF2leLPUGnRllzPMs3B6E5gA5d0ACBkcC_w1VveSooMnpEtJyKdqKcapjTfW9nWRyg2me2opCpWJsOtmlyahExudgyK1Y1-YDdUJkvDx2rZRQ/Yl2k4XTrD9wA_7YkSVARmFYo8JNrwsNwAKqd84FNsdw),12/27/21,9/14/76,Department of Defense - Department of the Army,"Act of War,Presidential Emergency Declarations,Presidential Major Disaster Declaration,Terrorism",N/A,Domestic,Yes - Subject to Posse Comitatus,,,,,,,,No,"During a war or national emergency, the armed forces have 90 days (instead of 60) to submit financial accounts to the Comptroller General, and they can do this for up to 18 months after the war or emergency ends.",,
33 U.S.C. § 2293,National Emergencies Act,"Emergency Authorities Under the National Emergencies Act,",,Legislation,National Emergencies Act,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/IzAAnbQKmpUDP_H_iKiUuw/yHHBXYy2IPbGzSCexyaWT0R8CieUkP2sMHRhRMCZQMLmz08DoaOUYB5irNlB8tgF2leLPUGnRllzPMs3B6E5gA5d0ACBkcC_w1VveSooMnpEtJyKdqKcapjTfW9nWRyg2me2opCpWJsOtmlyahExudgyK1Y1-YDdUJkvDx2rZRQ/Yl2k4XTrD9wA_7YkSVARmFYo8JNrwsNwAKqd84FNsdw),12/27/21,9/14/76,Department of Defense - Department of the Army,"Natural Disaster,Act of War,Presidential Emergency Declarations,Presidential Major Disaster Declaration,Terrorism",N/A,Domestic,Yes - Subject to Posse Comitatus,,,,,,,,No,The Secretary of the Army can stop or delay non-essential Army projects during a war or national emergency and use those resources for essential defense projects.,,
,,,,,,,,,,,,,,,,,,,,,,,,,
",,",,,,,,,,,,,,,,,,,,,,,,,,,
38 U.S.C. § 4303,National Emergencies Act,"Emergency Authorities Under the National Emergencies Act,",,Legislation,National Emergencies Act,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/IzAAnbQKmpUDP_H_iKiUuw/yHHBXYy2IPbGzSCexyaWT0R8CieUkP2sMHRhRMCZQMLmz08DoaOUYB5irNlB8tgF2leLPUGnRllzPMs3B6E5gA5d0ACBkcC_w1VveSooMnpEtJyKdqKcapjTfW9nWRyg2me2opCpWJsOtmlyahExudgyK1Y1-YDdUJkvDx2rZRQ/Yl2k4XTrD9wA_7YkSVARmFYo8JNrwsNwAKqd84FNsdw),12/27/21,9/14/76,Department of Defense - Department of the Army,No triggering event - Capacity Building,N/A,Domestic,No,,,,,,,,No,"The definition of ""uniformed services"" for reemployment rights includes the Armed Forces, National Guard, Public Health Service, and any other groups designated by the President during a war or national emergency.",,
,,,,,,,,,,,,,,,,,,,,,,,,,
",,",,,,,,,,,,,,,,,,,,,,,,,,,
37 U.S.C. § 477,National Emergencies Act,"Emergency Authorities Under the National Emergencies Act,",,Legislation,National Emergencies Act,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/IzAAnbQKmpUDP_H_iKiUuw/yHHBXYy2IPbGzSCexyaWT0R8CieUkP2sMHRhRMCZQMLmz08DoaOUYB5irNlB8tgF2leLPUGnRllzPMs3B6E5gA5d0ACBkcC_w1VveSooMnpEtJyKdqKcapjTfW9nWRyg2me2opCpWJsOtmlyahExudgyK1Y1-YDdUJkvDx2rZRQ/Yl2k4XTrD9wA_7YkSVARmFYo8JNrwsNwAKqd84FNsdw),12/27/21,9/14/76,"Department of Defense - Department of the Army,Department of Defense","Act of War,Health Emergency,Natural Disaster","Members of uniformed services may have to move due to health outbreaks or hazards in certain regions of the US, for which they may be due additional dislocation allowances.",Domestic,No,,,,,,,,No,"During a national emergency or war, members of the uniformed services can receive more than one dislocation allowance per year.",,Waiver
31 u.s.c. § 1301(a),31 USC CHAPTER 13- Appropriations,FEMA DOLR,4,Legislation,31 U.S.C. §1301,https://policy.defense.gov/portals/11/Documents/hdasa/references/31_USC_1301.pdf,31_USC_1301.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/mxra6e9plfqPWrBfBQfnfQ/EPFINpgbFkf3rocLJ0qYuVOyjM9jaC-erVJ5EoRhym9lyKWRuCKP7Nqr2xmjXziE13KVSBNhyvMY3nRBXnBTEJ1zlccp_3T9g-uloBziyGgpOgQcOhU5SHXsZDeqp_I72Fzsy21ouKl0WAkQjR9RXhTvwiarI9jHpoKCltByeDk/0FwLEIhRU0YMfWilThLPJ0Ps_ewwzga7zoBuSzNmCp8),,9/13/82,"Department of Defense - Department of the Army,Department of the Treasury",No triggering event - Capacity Building,N/A,Domestic,No,Include,,,,,,,No,"This law ensures that federal funds are only used as they were designed, and promotes financial accountability within all sectors of the federal government.",,Response Assessment
